scenario,U_to_treatment_strength,U_to_outcome_strength,truth,sample_size,estimator,mean_estimate,bias,mcse_bias,rmse,mcse_rmse,empirical_sd,mean_estimated_se,coverage,mcse_coverage,n_replications,n_attempted,n_valid,n_coverage,n_failed,n_not_applicable,n_non_ok,failure_rate,non_ok_rate,failure_rate_denominator,first_error_type,first_error_message,status_message
U_A0_U_Y1,0.0,1.0,0.14759830312472688,1000,naive_risk_difference,0.244996190748408,0.0973978876236811,0.0033921672625259096,0.10195776387198015,0.0031484991247733803,0.030340466360229235,0.030313547173543308,0.15,0.03992179855667828,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1,0.0,1.0,0.14759830312472688,1000,logistic_gcomp_risk_difference,0.14249009454588224,-0.005108208578844642,0.0038073489671497283,0.03422382768393702,0.002336762708886304,0.03405396441844162,0.0006706691916960346,0.0125,0.01242162932146987,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1,0.0,1.0,0.14759830312472688,1000,ipw_risk_difference,0.14172212851657914,-0.005876174608147756,0.003727849124718182,0.03365087363890792,0.002176288786047416,0.03334289621093179,0.04579086375208183,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1,0.0,1.0,0.14759830312472688,1000,aipw_risk_difference,0.14207612637248412,-0.005522176752242758,0.0037224353972572094,0.03354340372914669,0.0021794583371841144,0.03329447436047422,0.032642205100151075,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1,0.0,1.0,0.14759830312472688,1000,adjusted_oracle_includes_U,0.14208176422470137,-0.005516538900025533,0.003428655770133959,0.0309698393966009,0.0022211658199376323,0.0306668294938657,0.001485915793626754,0.0625,0.027063293868263706,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1p5,0.0,1.5,0.13061862723709755,1000,naive_risk_difference,0.21343685483816843,0.08281822760107091,0.0033609769387254987,0.08804121725425944,0.0034098332100811588,0.03006149162319744,0.03067037922342351,0.175,0.04248161366991607,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1p5,0.0,1.5,0.13061862723709755,1000,logistic_gcomp_risk_difference,0.12517604671353696,-0.005442580523560584,0.0033653787818271204,0.030403254036764617,0.0021738768365187427,0.030100862904803495,0.00044129873654267084,0.025,0.017455300054711177,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1p5,0.0,1.5,0.13061862723709755,1000,ipw_risk_difference,0.12631352789794495,-0.004305099339152607,0.0037112793591968832,0.033266316964732326,0.002414718625903711,0.03319469172262436,0.04628660072994262,1.0,0.0,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1p5,0.0,1.5,0.13061862723709755,1000,aipw_risk_difference,0.12498027218808674,-0.005638355049010809,0.0034622678645200083,0.03128558214494423,0.0023376045535601327,0.030967465205519087,0.03330405731238015,0.9625,0.02124080683495803,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
U_A0_U_Y1p5,0.0,1.5,0.13061862723709755,1000,adjusted_oracle_includes_U,0.12934563761417883,-0.001272989622918708,0.0026911100545141094,0.02395296005288505,0.002039036526147837,0.02407002006730687,0.0018357869986002332,0.1,0.03354101966249685,80,80,80,80,0,0,0,0.0,0.0,80,,,ok
